Age,Fare,Sex
20,5,0
40,70,1
25,10,1
35,55,1
35,10,0
30,10,0
55,50,0
0,20,0
25,10,1
15,30,1
5,15,1
60,25,1
20,10,0
40,30,0
15,10,1
55,15,1
0,30,0
30,15,0
30,20,1
30,5,1
35,25,0
35,15,0
15,10,1
30,35,0
10,20,1
40,30,1
30,5,0
20,265,0
30,10,1
30,10,0
40,30,0
30,145,1
30,10,1
65,10,0
30,80,0
40,50,0
30,5,0
20,10,0
20,20,1
15,10,1
40,10,1
25,20,1
30,10,0
5,40,1
20,10,1
30,10,0
30,15,0
30,10,1
30,20,0
20,20,1
5,40,0
20,10,0
50,75,1
30,25,1
65,60,0
30,35,0
20,10,1
30,5,0
5,30,1
10,45,0
20,5,0
40,80,1
45,85,0
5,30,0
30,30,0
30,15,0
30,10,1
20,10,0
15,10,1
25,10,0
30,10,0
15,45,1
20,75,0
25,15,0
30,55,0
25,10,0
30,10,0
30,10,0
0,30,0
30,10,1
20,10,0
30,10,0
30,10,1
30,45,0
15,10,1
35,15,1
15,35,0
30,10,0
25,265,1
25,10,0
30,10,0
20,10,0
45,60,0
25,20,0
60,5,0
30,10,0
70,35,0
25,65,0
35,25,1
35,25,0
30,10,1
30,10,0
20,75,0
35,10,0
35,10,0
30,10,0
20,10,1
30,10,0
40,10,0
30,25,1
45,50,0
15,15,1
20,10,0
20,10,1
15,15,1
20,10,0
70,10,0
30,20,0
25,250,0
0,30,1
20,75,0
30,10,0
30,30,0
30,15,1
55,75,0
10,10,0
30,10,0
25,5,0
30,20,1
45,5,0
35,10,0
20,5,0
45,15,1
30,25,1
25,15,0
25,15,0
20,25,1
35,55,0
15,10,0
25,80,0
30,15,1
20,10,1
25,15,1
20,5,0
20,10,0
20,35,0
25,10,0
10,35,1
35,25,0
40,15,0
50,15,0
20,65,1
55,10,0
40,15,0
30,5,0
50,60,0
15,10,1
30,10,0
30,10,0
30,70,0
45,15,0
40,15,1
25,10,0
15,10,0
0,40,0
10,20,0
30,55,1
45,30,1
30,25,0
30,55,0
60,35,0
5,30,0
0,10,1
20,10,0
55,30,0
20,10,0
30,25,0
50,30,1
30,15,0
35,0,0
30,70,1
30,15,0
10,30,0
0,40,0
5,20,1
30,50,0
30,15,1
45,25,0
40,15,0
35,10,0
30,15,1
20,15,0
20,10,1
5,25,0
45,30,1
60,145,1
30,10,0
40,10,0
30,10,1
25,15,1
30,10,0
30,70,0
35,5,0
45,5,0
20,10,0
0,10,1
30,15,0
25,20,0
15,10,1
40,30,0
25,5,0
35,20,1
20,5,0
30,15,0
30,10,0
30,115,1
25,10,1
40,25,0
30,75,1
30,10,0
15,10,0
25,15,0
50,10,0
30,10,0
40,90,0
20,10,0
20,10,0
20,5,0
20,15,0
30,25,1
35,85,1
30,10,0
60,15,0
5,30,1
25,10,0
30,10,1
45,25,0
10,25,1
20,10,0
35,10,0
30,15,1
30,15,1
30,10,0
20,5,0
30,5,0
45,90,0
25,10,1
25,15,1
35,55,0
55,25,0
30,5,0
30,10,1
60,25,0
30,15,0
40,20,1
30,15,1
30,80,1
30,85,1
35,510,1
50,25,1
30,10,0
5,30,0
50,80,0
40,0,0
30,10,1
35,10,0
15,40,0
25,10,0
60,155,1
35,135,1
30,30,0
25,0,0
40,20,1
35,30,0
30,10,1
65,80,1
45,10,1
30,0,0
5,30,0
35,20,1
65,10,0
30,10,0
15,10,0
20,10,0
30,25,0
35,10,0
30,10,0
20,10,0
40,15,0
20,10,1
25,80,1
20,90,1
35,15,0
25,10,1
25,10,0
30,30,0
25,5,0
0,150,1
30,30,0
50,250,1
30,10,1
30,25,0
20,0,0
30,10,1
30,10,0
0,150,0
30,110,1
15,110,1
30,25,0
30,55,1
25,85,1
20,260,1
25,25,1
30,10,0
45,25,0
25,10,1
25,25,1
55,15,0
30,165,1
40,135,1
20,5,0
25,10,0
30,10,1
20,30,1
30,70,0
35,135,1
60,5,0
35,15,1
30,20,1
15,60,1
30,25,1
45,30,0
40,155,0
15,20,0
30,135,1
30,10,0
30,65,0
40,135,1
45,10,0
45,35,0
0,25,0
25,265,1
30,15,0
25,15,0
35,15,0
25,15,1
40,15,1
30,15,1
5,15,0
40,10,0
25,10,0
30,35,0
15,5,0
25,20,0
30,5,0
30,10,0
20,55,1
40,15,1
30,10,1
30,10,1
40,30,0
30,30,0
45,15,1
35,5,0
30,15,0
30,5,0
60,75,1
30,5,1
30,10,1
25,70,1
25,55,0
20,5,0
20,10,0
20,135,0
5,20,1
30,80,1
20,5,1
25,210,0
20,5,0
20,10,0
40,230,1
0,15,1
30,10,0
35,50,1
30,10,0
20,75,0
0,45,0
35,15,1
30,10,0
15,10,1
35,120,0
20,10,0
30,10,0
25,115,1
25,15,1
20,10,0
30,10,1
45,25,0
25,10,0
30,15,1
40,10,0
25,10,0
20,10,1
30,15,0
20,10,1
35,20,0
50,10,0
5,20,0
20,10,0
30,25,1
30,10,0
30,5,0
35,90,1
30,0,0
45,10,0
30,10,1
35,30,1
20,15,1
30,15,0
10,25,1
30,10,0
20,10,0
30,10,0
30,15,1
20,20,0
30,5,0
30,25,1
20,25,1
30,10,0
30,10,0
30,25,0
30,15,1
40,25,1
15,5,0
50,55,0
15,120,1
20,35,1
25,20,1
65,265,0
30,10,0
45,25,1
20,10,0
25,10,0
30,15,1
30,10,0
5,80,0
15,20,1
35,25,0
5,20,1
50,30,0
35,30,0
30,20,0
30,30,0
50,90,0
30,10,0
30,10,0
65,25,0
30,50,1
50,10,1
30,10,0
50,25,0
35,10,0
45,40,0
50,15,0
30,10,0
40,5,0
30,0,0
55,25,0
30,10,0
0,20,1
30,5,0
40,10,0
35,30,1
25,15,1
20,10,1
30,50,0
35,20,0
30,5,0
20,10,0
0,10,1
10,45,0
30,0,0
50,10,0
65,10,1
25,90,0
30,25,1
35,90,1
60,30,0
30,10,0
10,15,0
30,20,0
20,5,0
55,30,0
70,50,0
20,10,0
30,15,0
55,80,1
30,15,0
25,150,1
25,10,0
15,10,0
20,10,1
30,10,1
35,10,1
15,85,1
20,110,0
35,25,1
30,25,0
30,25,0
25,55,0
30,10,0
30,10,0
35,25,0
55,60,1
25,5,0
45,35,0
35,10,1
30,25,0
35,25,1
30,10,0
30,95,1
20,10,0
30,5,0
45,60,1
30,5,0
40,10,0
50,10,1
30,220,0
40,10,0
25,10,0
0,25,1
30,5,0
15,5,0
30,20,1
30,10,1
5,25,1
45,25,0
30,105,1
30,15,0
20,50,1
35,70,1
10,30,1
10,30,1
30,25,0
50,105,0
65,25,0
20,25,1
30,15,0
35,20,0
10,35,0
15,110,0
25,25,0
30,10,0
20,5,0
20,10,1
60,25,0
50,40,1
30,230,0
40,80,1
35,15,1
30,10,0
40,10,0
30,15,0
30,10,0
30,10,1
25,25,0
20,10,0
30,20,1
30,5,0
30,10,0
60,10,0
55,50,1
35,25,0
30,10,1
15,10,0
20,15,0
35,15,1
40,55,1
30,15,1
30,10,0
25,30,1
40,110,1
55,25,0
35,40,0
30,10,0
20,80,1
45,15,0
60,80,0
20,10,0
30,10,0
35,5,0
50,80,1
45,5,0
30,10,1
35,25,0
35,25,0
30,35,1
50,0,0
30,5,0
50,55,0
25,25,1
30,10,0
30,40,0
45,10,0
35,25,0
35,15,0
30,10,0
25,30,0
20,40,1
40,155,1
40,30,1
30,5,0
30,15,1
30,10,0
35,10,0
25,65,1
35,15,0
25,15,1
5,40,1
25,10,0
25,15,0
40,55,0
20,15,0
20,10,0
20,15,0
60,30,0
55,10,0
20,80,1
25,10,0
30,10,0
80,30,0
50,5,0
30,30,0
30,0,0
10,30,1
30,15,1
30,10,0
30,25,0
40,40,1
30,15,0
20,10,0
25,70,1
0,30,1
30,55,0
0,20,1
50,75,0
20,10,0
55,35,0
30,10,0
25,10,1
30,10,0
20,25,1
20,10,0
30,10,1
20,5,1
25,75,0
30,10,0
30,15,1
25,15,0
60,115,0
50,135,0
40,5,0
45,25,0
35,5,0
20,10,0
30,75,0
25,15,0
30,10,0
45,10,0
30,50,1
40,40,1
30,50,0
70,10,0
30,15,0
30,0,0
20,10,0
25,10,0
20,10,1
45,45,1
35,510,0
30,10,1
25,75,0
20,10,0
15,45,0
60,40,0
25,40,0
15,40,0
20,10,0
20,10,0
15,210,1
30,55,0
5,15,1
30,55,0
25,5,0
60,25,0
50,15,0
45,10,0
30,10,1
50,110,0
40,10,0
20,230,1
35,25,0
20,15,1
25,10,0
25,10,0
40,25,0
45,15,1
40,25,0
20,150,1
30,15,0
25,50,1
30,25,0
50,50,0
30,10,0
50,15,0
20,10,0
40,230,1
25,10,1
30,15,0
35,10,0
5,35,1
15,5,0
35,15,0
50,15,0
25,55,0
20,10,0
30,20,1
30,10,1
25,25,0
25,10,1
30,210,1
10,20,0
30,0,0
25,15,0
25,15,0
30,15,0
50,35,1
35,510,0
30,10,0
30,10,0
30,30,0
35,80,0
20,260,1
25,15,0
30,10,0
70,70,0
15,20,0
30,15,1
20,55,0
30,10,0
5,25,1
5,10,0
35,10,0
25,10,0
50,65,1
0,15,0
30,10,0
20,10,0
35,10,0
35,85,1
30,15,0
40,5,0
20,5,0
35,120,1
15,10,0
50,80,1
30,40,0
30,10,1
30,25,0
30,10,0
25,10,0
50,10,0
55,10,1
30,5,0
55,25,1
20,10,0
30,10,0
5,10,1
30,10,0
45,210,1
15,5,1
15,55,1
30,30,0
30,25,0
25,5,0
25,5,0
20,5,1
10,30,0
0,20,0
45,80,0
30,10,0
15,25,0
30,70,1
30,30,0
25,10,0
40,15,0
50,25,1
30,10,1
30,5,0
30,25,1
35,15,0
30,25,1
10,120,0
0,10,0
25,5,0
30,10,0
40,0,0
20,10,1
40,15,0
35,55,1
25,10,0
40,25,0
35,10,0
5,30,1
30,10,0
30,0,0
25,10,1
30,35,0
45,5,0
10,30,0
50,95,1
25,10,0
40,0,0
25,10,1
0,40,0
30,5,0
30,55,0
0,35,0
30,10,0
60,80,1
15,15,1
0,20,0
30,5,0
25,10,0
20,10,0
40,85,1
20,10,0
30,10,0
30,55,0
30,30,0
20,10,0
15,10,0
30,30,1
35,5,0
15,10,0
40,10,0
30,70,0
35,10,0
30,35,0
30,90,1
5,30,0
75,10,0
10,15,1
15,40,1
45,25,1
20,10,1
45,165,1
50,25,0
25,20,1
30,5,0
40,15,0
20,10,0
50,25,1
30,70,1
25,15,0
40,15,1
25,15,1
30,50,0
30,10,0
5,10,0
25,10,0
45,55,1
35,5,0
45,10,0
30,25,1
15,5,1
20,10,0
20,10,0
30,10,0
55,85,1
25,25,1
35,10,0
20,10,1
30,10,0
25,5,0
40,30,1
25,15,0
20,30,1
30,25,1
25,30,0
30,10,0
